date,open,high,low,close,volume,daily_return
2025-02-12 01:00:00,1.0,1.0,1.0,1.0,0.0,
2025-02-13 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-14 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-15 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-16 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-17 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-18 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-19 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-20 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-21 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-22 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-23 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-24 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-25 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-26 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-27 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-02-28 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-01 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-02 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-03 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-04 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-05 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-06 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-07 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-08 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-09 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-10 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-11 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-12 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-13 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-14 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-15 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-16 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-17 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-18 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-19 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-20 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-21 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-22 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-23 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-24 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-25 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-26 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-27 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-28 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-29 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-30 01:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-03-31 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-01 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-02 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-03 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-04 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-05 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-06 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-07 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-08 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-09 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-10 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-11 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-12 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-13 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-14 02:00:00,1.0,1.0,1.0,1.0,0.0,0.0
2025-04-14 15:20:05,1.0,1.0,1.0,1.0,0.0,0.0
