symbol,avg_correlation
PYUSD,-0.03376629072095236
USDC,0.027174392980962407
BSC-USD,0.03125931275655744
XAUT,0.03561697372741316
USDS,0.05187496399486529
DAI,0.08327497855337712
FDUSD,0.09395378967994421
USDT,0.12806578839953228
SUSDE,0.14997375894646844
FTN,0.15633561508811386
TKX,0.1810171073204569
TRX,0.19977434928798107
USDE,0.2198612487135242
DEXE,0.23609396500713606
BGB,0.24382632899570406
LEO,0.28944176650517717
XDC,0.33680154127137324
XMR,0.35216095170332606
HBAR,0.3905270011335663
XLM,0.39935248017529457
CRO,0.42165258372271147
JUP,0.42641437770373974
OKB,0.42750025308639106
MKR,0.427776146053701
MNT,0.4282501130878603
PEPE,0.4370420999095926
KCS,0.4486851853173096
BONK,0.46716165313882163
KAS,0.46783908189011364
XRP,0.4689795074779887
TON,0.47534064494793093
FLR,0.47593492926154246
ENA,0.4823873098628856
ADA,0.48780517934922984
GT,0.49379628431037964
LTC,0.49669890790183424
EOS,0.4978802626366251
JASMY,0.4995980993376461
BNB,0.5030529278928658
QNT,0.5047983146869272
TIA,0.507920425900267
CRV,0.5123400452513555
ALGO,0.5129333013444608
SUI,0.5176172988950494
SOL,0.5177953950202858
BNSOL,0.5201653966427688
TAO,0.5234270390393155
JLP,0.5235485041882882
AAVE,0.5304557848242101
SHIB,0.5331734374263787
WLD,0.5436091805246668
DOGE,0.5454665090372808
VET,0.5522800165679181
ONDO,0.5526337103750321
APT,0.5530308338235985
LINK,0.5560502922466827
SEI,0.5572199421408078
BCH,0.5587571079326715
ATOM,0.5617521744037167
SOLVBTC,0.5682876126798689
CBBTC,0.5697463421728511
WBTC,0.5703039224291365
UNI,0.5703531512103334
DOT,0.571463950265204
LBTC,0.5716167498381134
BTC,0.5717464963640733
OP,0.5754629714801682
NEXO,0.5787414609404842
FET,0.5801054262497369
RENDER,0.5829754952206723
ICP,0.5878695273810158
ETC,0.5904961822777944
INJ,0.5920995852948334
NEAR,0.5950744642578101
AVAX,0.5959899942833446
POL,0.6034542986677955
STX,0.6041431518203504
WSTETH,0.6057776385763226
WETH,0.6072729365040677
FIL,0.6081212265332453
RSETH,0.608509656960775
STETH,0.6088140481862994
ETH,0.6096197837674977
WEETH,0.6101035667554492
RETH,0.611292470357395
ARB,0.6120417094487915
GRT,0.6195802067830886
